Title,DOI,Publication_type,Publication_year,Taxa,Number_species,Single-Multi-species,Number_states,FIA_region_list,FIA_region_grouped,Topic,Data_source,Summary_level,Theme
Development of landscape-level habitat suitability models for ten wildlife species in the central hardwoods region,,Report,2007,Wildlife,10,Multi,16,"Northern, Southern",Multiple,Methods,FIADB,Validation,habitat suitability and quality
Integrated distribution modeling resolves asynchrony between bat population impacts and occupancy trends through latent abundance,10.1038/s42003-025-08238-x,Journal Article,2025,Mammals,1,Single,34,National,Multiple,Methods,FIADB,Study area,species occurrence and distribution
Does white-tailed deer density affect tree stocking in forests of the Eastern United States?,10.1186/s13717-019-0185-5,Journal Article,2019,Mammals,1,Single,26,"Northern, Southern",Multiple,Conservation,FIADB,County,species abundance and density
"Lessons Learned While Integrating Habitat, Dispersal, Disturbance, and Life-History Traits into Species Habitat Models Under Climate Change",10.1007/s10021-011-9456-4,Journal Article,2011,Birds,147,Multi,26,"Northern, Southern",Multiple,Methods,FIADB,Plot,habitat suitability and quality
Assessing Ecoregional‐Scale Habitat Suitability Index Models for Priority Landbirds,10.2193/2008-125,Journal Article,2009,Birds,40,Multi,10,"Northern, Southern",Multiple,Management,Raster,Krigging,habitat suitability and quality
Projected land-use change impacts on ecosystem services in the United States,,Journal Article,2013,Wildlife,194,Multi,48,National,Multiple,Conservation,FIADB,County,habitat suitability and quality
Strategic Forest Reserves can protect biodiversity in the western United States and mitigate climate change,10.1038/s43247-021-00326-0,Journal Article,2021,Wildlife,1089,Multi,11,"Rocky Mountain, Pacific Northwest",Multiple,Management,Raster,Nearest Neighbor,habitat suitability and quality
Synthesis of Regional Wildlife and Vegetation Field Studies to Guide Management of Standing and Down Dead Trees,,Journal Article,2010,Wildlife,112,Multi,3,Pacific Northwest,Pacific Northwest,Conservation,Raster,GNN,habitat suitability and quality
The Influence of Vegetation Height Heterogeneity on Forest and Woodland Bird Species Richness across the United States,10.1371/journal.pone.0103236,Journal Article,2014,Birds,134,Multi,36,National,Multiple,Methods,Raster,NBCD,species richness and community composition
The Influence of Vertical and Horizontal Habitat Structure on Nationwide Patterns of Avian Biodiversity ,10.1525/auk.2013.13007,Journal Article,2013,Birds,373,Multi,48,National,Multiple,Management,Raster,NBCD,species richness and community composition
